,gene_id,gene_name,wild_type_growth,knockout_growth,growth_ratio,growth_drop,is_essential,reactions
b3526,b3526,kdgK,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['DDGLK']
b2601,b2601,aroF,0.9823718127269792,4.2292594504402775e-16,4.3051514667345953e-16,0.9823718127269787,True,['DDPA']
b1901,b1901,araF,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ARBabcpp']
b2841,b2841,araE,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ARBt2rpp']
b4122,b4122,fumB,0.9823718127269792,0.9027057627286155,0.9189043812472412,0.07966604999836369,False,"['FUM', 'DTARTD']"
b0754,b0754,aroG,0.9823718127269792,4.2292594504402775e-16,4.3051514667345953e-16,0.9823718127269787,True,['DDPA']
b1528,b1528,ydeA,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['MELIBt3ipp', 'ARBt3ipp', 'LCTSt3ipp']"
b1098,b1098,tmk,0.9823718127269792,5.768831560565299e-16,5.872350454103037e-16,0.9823718127269786,True,['DTMPK']
b1704,b1704,aroH,0.9823718127269792,4.2292594504402775e-16,4.3051514667345953e-16,0.9823718127269787,True,['DDPA']
b2147,b2147,preA,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['DURADx']
b4477,b4477,dgoA,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['DDPGALA']
b4115,b4115,adiC,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ARGAGMt7pp']
b2146,b2146,preT,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['DURADx']
b4117,b4117,adiA,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ARGDC']
b3648,b3648,gmk,0.9823718127269792,5.095276580444676e-16,5.186708855479708e-16,0.9823718127269786,True,"['GK1', 'DGK1']"
b1238,b1238,tdk,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['DURIK1', 'TMDK1']"
b1393,b1393,paaF,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['DHACOAH']
b2938,b2938,speA,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ARGDCpp']
b1605,b1605,ydgI,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ARGORNt7pp']
b4382,b4382,deoA,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['DURIPP', 'TMDPP']"
b3960,b3960,argH,0.9823718127269792,-3.0989117482262966e-17,-3.1545202214464865e-17,0.9823718127269792,True,['ARGSL']
b3771,b3771,ilvD,0.9823718127269792,4.0169215747952925e-15,4.0890032905613055e-15,0.9823718127269752,True,"['DHAD1', 'DHAD2']"
b4384,b4384,deoD,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['DURIPP', 'PUNP2', 'PUNP1', 'PUNP6', 'PUNP3', 'PUNP5', 'PUNP4']"
b1199,b1199,dhaL,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['DHAPT']
b3172,b3172,argG,0.9823718127269792,-1.4828398873720042e-16,-1.5094487323040846e-16,0.9823718127269793,True,['ARGSS']
b3640,b3640,dut,0.9823718127269792,0.9822652099291306,0.9998914842664789,0.00010660279784857618,False,['DUTPDP']
b1876,b1876,argS,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ARGTRS']
